i,j,price,amplitude,lower_bound,upper_bound
stor_Shasta.2011-01-31 00:00:00,flow_Shasta.2011-01-31 00:00:00,7510.87868025,1.0,0.0,4106.65280227
stor_Shasta.2011-01-31 00:00:00,spill_Shasta.2011-01-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Shasta.2011-01-31 00:00:00,flow_Shasta.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Shasta.2011-01-31 00:00:00,stor_Keswick.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-01-31 00:00:00,stor_Keswick.2011-01-31 00:00:00,0.0,1.0,0.0,0.0
stor_Keswick.2011-01-31 00:00:00,stor_Keswick.2011-02-28 00:00:00,67345.8477967,1.0,0.0,29.35686722
stor_Keswick.2011-01-31 00:00:00,flow_Keswick.2011-01-31 00:00:00,896.003183837,1.0,0.0,4414.56122045
stor_Keswick.2011-01-31 00:00:00,spill_Keswick.2011-01-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Keswick.2011-01-31 00:00:00,flow_Keswick.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Keswick.2011-01-31 00:00:00,DELTA.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-01-31 00:00:00,stor_Folsom.2011-01-31 00:00:00,0.0,1.0,404.802700727,404.802700727
stor_Folsom.2011-01-31 00:00:00,stor_Folsom.2011-02-28 00:00:00,1652.04206541,0.998749063,111.013367,1202.644809
stor_Folsom.2011-01-31 00:00:00,flow_Folsom.2011-01-31 00:00:00,5122.2048675,1.0,0.0,2874.3837863
stor_Folsom.2011-01-31 00:00:00,spill_Folsom.2011-01-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Folsom.2011-01-31 00:00:00,flow_Folsom.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Folsom.2011-01-31 00:00:00,stor_Nimbus.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-01-31 00:00:00,stor_Nimbus.2011-01-31 00:00:00,0.0,1.0,0.0,0.0
stor_Nimbus.2011-01-31 00:00:00,stor_Nimbus.2011-02-28 00:00:00,49495.5552706,1.0,0.0,10.85464056
stor_Nimbus.2011-01-31 00:00:00,flow_Nimbus.2011-01-31 00:00:00,420.401116397,1.0,0.0,2881.62115834
stor_Nimbus.2011-01-31 00:00:00,spill_Nimbus.2011-01-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Nimbus.2011-01-31 00:00:00,flow_Nimbus.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Nimbus.2011-01-31 00:00:00,DELTA.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-01-31 00:00:00,stor_New Melones.2011-01-31 00:00:00,0.0,1.0,154.350211348,154.350211348
stor_New Melones.2011-01-31 00:00:00,stor_New Melones.2011-02-28 00:00:00,397.681691941,0.999321932,98.67854843,2985.02609
stor_New Melones.2011-01-31 00:00:00,flow_New Melones.2011-01-31 00:00:00,8227.18173491,1.0,0.0,581.376673152
stor_New Melones.2011-01-31 00:00:00,spill_New Melones.2011-01-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_New Melones.2011-01-31 00:00:00,flow_New Melones.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_New Melones.2011-01-31 00:00:00,DELTA.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-01-31 00:00:00,stor_Pine Flat.2011-01-31 00:00:00,0.0,1.0,194.861655529,194.861655529
stor_Pine Flat.2011-01-31 00:00:00,stor_Pine Flat.2011-02-28 00:00:00,579.700476223,0.999282708,148.0178226,1233.481855
stor_Pine Flat.2011-01-31 00:00:00,flow_Pine Flat.2011-01-31 00:00:00,5210.77537105,1.0,0.0,588.646084637
stor_Pine Flat.2011-01-31 00:00:00,spill_Pine Flat.2011-01-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Pine Flat.2011-01-31 00:00:00,flow_Pine Flat.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Pine Flat.2011-01-31 00:00:00,DELTA.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
SUPERSOURCE,INFLOW.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
DELTA.2011-02-28 00:00:00,SUPERSINK,0.0,1.0,0.0,10000000000.0
