i,j,a3,a2,a1,c,efficiency,price,amplitude,lower_bound,upper_bound,warmstart
flow_Nimbus.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,169.918898283
INFLOW.2010-11-30 00:00:00,stor_New Melones.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,74.7460441545,74.7460441545,74.746044902
stor_New Melones.2010-11-30 00:00:00,stor_New Melones.2010-12-31 00:00:00,4.33e-09,-2.87e-05,0.086684534,63.03293576,0.897566109,0.0,0.999321932,98.67854843,2985.02609,1639.73213582
stor_New Melones.2010-11-30 00:00:00,flow_New Melones.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,31.9661698642,1.0,0.0,581.376673152,8.508965239e-12
stor_New Melones.2010-11-30 00:00:00,spill_New Melones.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99982822516e-09
spill_New Melones.2010-11-30 00:00:00,flow_New Melones.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99981622883e-09
flow_New Melones.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.991271845e-09
INFLOW.2010-11-30 00:00:00,stor_Pine Flat.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,219.435300715,219.435300715,219.435302909
stor_Pine Flat.2010-11-30 00:00:00,stor_Pine Flat.2010-12-31 00:00:00,4.72e-08,-0.000125362,0.158366502,28.03055038,0.87,0.0,0.999282708,148.0178226,1233.481855,920.347975747
stor_Pine Flat.2010-11-30 00:00:00,flow_Pine Flat.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,31.9661698642,1.0,0.0,588.646084637,2.0066644757e-11
stor_Pine Flat.2010-11-30 00:00:00,spill_Pine Flat.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99982690464e-09
spill_Pine Flat.2010-11-30 00:00:00,flow_Pine Flat.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99981376786e-09
flow_Pine Flat.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.97970792217e-09
SUPERSOURCE,INFLOW.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,2385.54715796
DELTA.2010-12-31 00:00:00,SUPERSINK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1120.41099323
INFLOW.2010-12-31 00:00:00,stor_Shasta.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,998.388599138,998.388599138,998.388609122
stor_Shasta.2010-12-31 00:00:00,stor_Shasta.2011-01-31 00:00:00,3.97e-10,-5.47e-06,0.034370904,55.56257157,0.916266447,0.0,0.999171932,662.0238805,5614.932874,1177.07028799
stor_Shasta.2010-12-31 00:00:00,flow_Shasta.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.4331774342,1.0,0.0,4106.65280227,774.420973266
stor_Shasta.2010-12-31 00:00:00,spill_Shasta.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983971239e-09
spill_Shasta.2010-12-31 00:00:00,flow_Shasta.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983968236e-09
flow_Shasta.2010-12-31 00:00:00,stor_Keswick.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,774.420973256
INFLOW.2010-12-31 00:00:00,stor_Keswick.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.99727051779e-09
stor_Keswick.2010-12-31 00:00:00,stor_Keswick.2011-01-31 00:00:00,0.001617646,-0.112485446,2.88127658,0.214664334,0.771623853,0.0,1.0,0.0,29.35686722,29.3568675136
stor_Keswick.2010-12-31 00:00:00,flow_Keswick.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.4331774342,1.0,0.0,4414.56122045,774.420973276
stor_Keswick.2010-12-31 00:00:00,spill_Keswick.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.9998397071e-09
spill_Keswick.2010-12-31 00:00:00,flow_Keswick.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983968767e-09
flow_Keswick.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,774.420973266
INFLOW.2010-12-31 00:00:00,stor_Folsom.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,810.426582718,810.426582718,810.426590822
stor_Folsom.2010-12-31 00:00:00,stor_Folsom.2011-01-31 00:00:00,3.21e-08,-8.67e-05,0.101747899,50.60394701,0.829199799,0.0,0.998749063,111.013367,1202.644809,1202.64482103
stor_Folsom.2010-12-31 00:00:00,flow_Folsom.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.4331774342,1.0,0.0,2874.3837863,297.909908662
stor_Folsom.2010-12-31 00:00:00,spill_Folsom.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983971348e-09
