link,value
"('stor_Nimbus.2011-01-31 00:00:00', 'flow_Nimbus.2011-01-31 00:00:00')",403.29638353
"('stor_Nimbus.2011-01-31 00:00:00', 'spill_Nimbus.2011-01-31 00:00:00')",0.0
"('spill_Nimbus.2011-01-31 00:00:00', 'flow_Nimbus.2011-01-31 00:00:00')",0.0
"('flow_Nimbus.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",403.29638353
"('INFLOW.2011-01-31 00:00:00', 'stor_New Melones.2011-01-31 00:00:00')",154.350211348
"('stor_New Melones.2011-01-31 00:00:00', 'flow_New Melones.2011-01-31 00:00:00')",581.376673152
"('stor_New Melones.2011-01-31 00:00:00', 'spill_New Melones.2011-01-31 00:00:00')",0.0
"('spill_New Melones.2011-01-31 00:00:00', 'flow_New Melones.2011-01-31 00:00:00')",0.0
"('flow_New Melones.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",581.376673152
"('INFLOW.2011-01-31 00:00:00', 'stor_Pine Flat.2011-01-31 00:00:00')",194.861655529
"('stor_Pine Flat.2011-01-31 00:00:00', 'flow_Pine Flat.2011-01-31 00:00:00')",588.646084637
"('stor_Pine Flat.2011-01-31 00:00:00', 'spill_Pine Flat.2011-01-31 00:00:00')",0.0
"('spill_Pine Flat.2011-01-31 00:00:00', 'flow_Pine Flat.2011-01-31 00:00:00')",0.0
"('flow_Pine Flat.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",588.646084637
"('SUPERSOURCE', 'INFLOW.2011-02-28 00:00:00')",1319.50745757
"('DELTA.2011-02-28 00:00:00', 'SUPERSINK')",369.250476879
"('INFLOW.2011-02-28 00:00:00', 'stor_Shasta.2011-02-28 00:00:00')",653.838913867
"('stor_Shasta.2011-02-28 00:00:00', 'flow_Shasta.2011-02-28 00:00:00')",0.0
"('stor_Shasta.2011-02-28 00:00:00', 'spill_Shasta.2011-02-28 00:00:00')",0.0
"('spill_Shasta.2011-02-28 00:00:00', 'flow_Shasta.2011-02-28 00:00:00')",0.0
"('flow_Shasta.2011-02-28 00:00:00', 'stor_Keswick.2011-02-28 00:00:00')",0.0
"('INFLOW.2011-02-28 00:00:00', 'stor_Keswick.2011-02-28 00:00:00')",0.0
"('stor_Keswick.2011-02-28 00:00:00', 'flow_Keswick.2011-02-28 00:00:00')",0.0
"('stor_Keswick.2011-02-28 00:00:00', 'spill_Keswick.2011-02-28 00:00:00')",0.0
"('spill_Keswick.2011-02-28 00:00:00', 'flow_Keswick.2011-02-28 00:00:00')",0.0
"('flow_Keswick.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",0.0
"('INFLOW.2011-02-28 00:00:00', 'stor_Folsom.2011-02-28 00:00:00')",370.756794076
"('stor_Folsom.2011-02-28 00:00:00', 'flow_Folsom.2011-02-28 00:00:00')",369.250476879
"('stor_Folsom.2011-02-28 00:00:00', 'spill_Folsom.2011-02-28 00:00:00')",0.0
"('spill_Folsom.2011-02-28 00:00:00', 'flow_Folsom.2011-02-28 00:00:00')",0.0
"('flow_Folsom.2011-02-28 00:00:00', 'stor_Nimbus.2011-02-28 00:00:00')",369.250476879
"('INFLOW.2011-02-28 00:00:00', 'stor_Nimbus.2011-02-28 00:00:00')",0.0
"('stor_Nimbus.2011-02-28 00:00:00', 'flow_Nimbus.2011-02-28 00:00:00')",369.250476879
"('stor_Nimbus.2011-02-28 00:00:00', 'spill_Nimbus.2011-02-28 00:00:00')",0.0
"('spill_Nimbus.2011-02-28 00:00:00', 'flow_Nimbus.2011-02-28 00:00:00')",0.0
"('flow_Nimbus.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",369.250476879
"('INFLOW.2011-02-28 00:00:00', 'stor_New Melones.2011-02-28 00:00:00')",143.504764469
"('stor_New Melones.2011-02-28 00:00:00', 'flow_New Melones.2011-02-28 00:00:00')",0.0
"('stor_New Melones.2011-02-28 00:00:00', 'spill_New Melones.2011-02-28 00:00:00')",0.0
"('spill_New Melones.2011-02-28 00:00:00', 'flow_New Melones.2011-02-28 00:00:00')",0.0
"('flow_New Melones.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",0.0
"('INFLOW.2011-02-28 00:00:00', 'stor_Pine Flat.2011-02-28 00:00:00')",151.406985153
"('stor_Pine Flat.2011-02-28 00:00:00', 'flow_Pine Flat.2011-02-28 00:00:00')",0.0
"('stor_Pine Flat.2011-02-28 00:00:00', 'spill_Pine Flat.2011-02-28 00:00:00')",0.0
"('spill_Pine Flat.2011-02-28 00:00:00', 'flow_Pine Flat.2011-02-28 00:00:00')",0.0
"('flow_Pine Flat.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",0.0
"('SUPERSOURCE', 'INFLOW.2011-03-31 00:00:00')",3418.48355077
"('DELTA.2011-03-31 00:00:00', 'SUPERSINK')",1280.04026102
"('INFLOW.2011-03-31 00:00:00', 'stor_Shasta.2011-03-31 00:00:00')",1769.56707827
"('stor_Shasta.2011-03-31 00:00:00', 'flow_Shasta.2011-03-31 00:00:00')",0.0
"('stor_Shasta.2011-03-31 00:00:00', 'spill_Shasta.2011-03-31 00:00:00')",0.0
"('spill_Shasta.2011-03-31 00:00:00', 'flow_Shasta.2011-03-31 00:00:00')",0.0
"('flow_Shasta.2011-03-31 00:00:00', 'stor_Keswick.2011-03-31 00:00:00')",0.0
"('INFLOW.2011-03-31 00:00:00', 'stor_Keswick.2011-03-31 00:00:00')",0.0
"('stor_Keswick.2011-03-31 00:00:00', 'flow_Keswick.2011-03-31 00:00:00')",0.0
"('stor_Keswick.2011-03-31 00:00:00', 'spill_Keswick.2011-03-31 00:00:00')",0.0
"('spill_Keswick.2011-03-31 00:00:00', 'flow_Keswick.2011-03-31 00:00:00')",0.0
"('flow_Keswick.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",0.0
"('INFLOW.2011-03-31 00:00:00', 'stor_Folsom.2011-03-31 00:00:00')",1032.65150902
"('stor_Folsom.2011-03-31 00:00:00', 'flow_Folsom.2011-03-31 00:00:00')",1031.14519182
"('stor_Folsom.2011-03-31 00:00:00', 'spill_Folsom.2011-03-31 00:00:00')",0.0
"('spill_Folsom.2011-03-31 00:00:00', 'flow_Folsom.2011-03-31 00:00:00')",0.0
"('flow_Folsom.2011-03-31 00:00:00', 'stor_Nimbus.2011-03-31 00:00:00')",1031.14519182
"('INFLOW.2011-03-31 00:00:00', 'stor_Nimbus.2011-03-31 00:00:00')",0.0
"('stor_Nimbus.2011-03-31 00:00:00', 'flow_Nimbus.2011-03-31 00:00:00')",1031.14519182
"('stor_Nimbus.2011-03-31 00:00:00', 'spill_Nimbus.2011-03-31 00:00:00')",0.0
"('spill_Nimbus.2011-03-31 00:00:00', 'flow_Nimbus.2011-03-31 00:00:00')",0.0
"('flow_Nimbus.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",1031.14519182
"('INFLOW.2011-03-31 00:00:00', 'stor_New Melones.2011-03-31 00:00:00')",330.746633634
"('stor_New Melones.2011-03-31 00:00:00', 'flow_New Melones.2011-03-31 00:00:00')",0.0
"('stor_New Melones.2011-03-31 00:00:00', 'spill_New Melones.2011-03-31 00:00:00')",0.0
"('spill_New Melones.2011-03-31 00:00:00', 'flow_New Melones.2011-03-31 00:00:00')",0.0
"('flow_New Melones.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",0.0
"('INFLOW.2011-03-31 00:00:00', 'stor_Pine Flat.2011-03-31 00:00:00')",285.518329847
"('stor_Pine Flat.2011-03-31 00:00:00', 'flow_Pine Flat.2011-03-31 00:00:00')",248.895069201
"('stor_Pine Flat.2011-03-31 00:00:00', 'spill_Pine Flat.2011-03-31 00:00:00')",0.0
"('spill_Pine Flat.2011-03-31 00:00:00', 'flow_Pine Flat.2011-03-31 00:00:00')",0.0
"('flow_Pine Flat.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",248.895069201
"('SUPERSOURCE', 'INFLOW.2011-04-30 00:00:00')",2669.51544812
"('DELTA.2011-04-30 00:00:00', 'SUPERSINK')",2555.50502194
"('INFLOW.2011-04-30 00:00:00', 'stor_Shasta.2011-04-30 00:00:00')",1152.49051923
"('stor_Shasta.2011-04-30 00:00:00', 'flow_Shasta.2011-04-30 00:00:00')",1147.83711966
"('stor_Shasta.2011-04-30 00:00:00', 'spill_Shasta.2011-04-30 00:00:00')",0.0
"('spill_Shasta.2011-04-30 00:00:00', 'flow_Shasta.2011-04-30 00:00:00')",0.0
"('flow_Shasta.2011-04-30 00:00:00', 'stor_Keswick.2011-04-30 00:00:00')",1147.83711966
"('INFLOW.2011-04-30 00:00:00', 'stor_Keswick.2011-04-30 00:00:00')",0.0
"('stor_Keswick.2011-04-30 00:00:00', 'flow_Keswick.2011-04-30 00:00:00')",1147.83711966
"('stor_Keswick.2011-04-30 00:00:00', 'spill_Keswick.2011-04-30 00:00:00')",0.0
"('spill_Keswick.2011-04-30 00:00:00', 'flow_Keswick.2011-04-30 00:00:00')",0.0
"('flow_Keswick.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",1147.83711966
"('INFLOW.2011-04-30 00:00:00', 'stor_Folsom.2011-04-30 00:00:00')",820.528134838
"('stor_Folsom.2011-04-30 00:00:00', 'flow_Folsom.2011-04-30 00:00:00')",819.021817641
"('stor_Folsom.2011-04-30 00:00:00', 'spill_Folsom.2011-04-30 00:00:00')",0.0
"('spill_Folsom.2011-04-30 00:00:00', 'flow_Folsom.2011-04-30 00:00:00')",0.0
"('flow_Folsom.2011-04-30 00:00:00', 'stor_Nimbus.2011-04-30 00:00:00')",819.021817641
"('INFLOW.2011-04-30 00:00:00', 'stor_Nimbus.2011-04-30 00:00:00')",0.0
"('stor_Nimbus.2011-04-30 00:00:00', 'flow_Nimbus.2011-04-30 00:00:00')",819.021817641
"('stor_Nimbus.2011-04-30 00:00:00', 'spill_Nimbus.2011-04-30 00:00:00')",0.0
"('spill_Nimbus.2011-04-30 00:00:00', 'flow_Nimbus.2011-04-30 00:00:00')",0.0
"('flow_Nimbus.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",819.021817641
"('INFLOW.2011-04-30 00:00:00', 'stor_New Melones.2011-04-30 00:00:00')",276.614065703
"('stor_New Melones.2011-04-30 00:00:00', 'flow_New Melones.2011-04-30 00:00:00')",0.0
"('stor_New Melones.2011-04-30 00:00:00', 'spill_New Melones.2011-04-30 00:00:00')",0.0
"('spill_New Melones.2011-04-30 00:00:00', 'flow_New Melones.2011-04-30 00:00:00')",0.0
"('flow_New Melones.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",0.0
"('INFLOW.2011-04-30 00:00:00', 'stor_Pine Flat.2011-04-30 00:00:00')",419.882728348
"('stor_Pine Flat.2011-04-30 00:00:00', 'flow_Pine Flat.2011-04-30 00:00:00')",588.646084637
"('stor_Pine Flat.2011-04-30 00:00:00', 'spill_Pine Flat.2011-04-30 00:00:00')",0.0
"('spill_Pine Flat.2011-04-30 00:00:00', 'flow_Pine Flat.2011-04-30 00:00:00')",0.0
"('flow_Pine Flat.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",588.646084637
"('SUPERSOURCE', 'INFLOW.2011-05-31 00:00:00')",2483.40413952
"('DELTA.2011-05-31 00:00:00', 'SUPERSINK')",2120.42863833
"('INFLOW.2011-05-31 00:00:00', 'stor_Shasta.2011-05-31 00:00:00')",872.218203175
"('stor_Shasta.2011-05-31 00:00:00', 'flow_Shasta.2011-05-31 00:00:00')",867.564803609
"('stor_Shasta.2011-05-31 00:00:00', 'spill_Shasta.2011-05-31 00:00:00')",0.0
"('spill_Shasta.2011-05-31 00:00:00', 'flow_Shasta.2011-05-31 00:00:00')",0.0
"('flow_Shasta.2011-05-31 00:00:00', 'stor_Keswick.2011-05-31 00:00:00')",867.564803609
"('INFLOW.2011-05-31 00:00:00', 'stor_Keswick.2011-05-31 00:00:00')",0.0
"('stor_Keswick.2011-05-31 00:00:00', 'flow_Keswick.2011-05-31 00:00:00')",867.564803609
"('stor_Keswick.2011-05-31 00:00:00', 'spill_Keswick.2011-05-31 00:00:00')",0.0
"('spill_Keswick.2011-05-31 00:00:00', 'flow_Keswick.2011-05-31 00:00:00')",0.0
"('flow_Keswick.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",867.564803609
"('INFLOW.2011-05-31 00:00:00', 'stor_Folsom.2011-05-31 00:00:00')",665.724067279
"('stor_Folsom.2011-05-31 00:00:00', 'flow_Folsom.2011-05-31 00:00:00')",664.217750082
"('stor_Folsom.2011-05-31 00:00:00', 'spill_Folsom.2011-05-31 00:00:00')",0.0
"('spill_Folsom.2011-05-31 00:00:00', 'flow_Folsom.2011-05-31 00:00:00')",0.0
"('flow_Folsom.2011-05-31 00:00:00', 'stor_Nimbus.2011-05-31 00:00:00')",664.217750082
"('INFLOW.2011-05-31 00:00:00', 'stor_Nimbus.2011-05-31 00:00:00')",0.0
"('stor_Nimbus.2011-05-31 00:00:00', 'flow_Nimbus.2011-05-31 00:00:00')",664.217750082
"('stor_Nimbus.2011-05-31 00:00:00', 'spill_Nimbus.2011-05-31 00:00:00')",0.0
"('spill_Nimbus.2011-05-31 00:00:00', 'flow_Nimbus.2011-05-31 00:00:00')",0.0
"('flow_Nimbus.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",664.217750082
"('INFLOW.2011-05-31 00:00:00', 'stor_New Melones.2011-05-31 00:00:00')",362.973361258
"('stor_New Melones.2011-05-31 00:00:00', 'flow_New Melones.2011-05-31 00:00:00')",0.0
"('stor_New Melones.2011-05-31 00:00:00', 'spill_New Melones.2011-05-31 00:00:00')",0.0
"('spill_New Melones.2011-05-31 00:00:00', 'flow_New Melones.2011-05-31 00:00:00')",0.0
"('flow_New Melones.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",0.0
"('INFLOW.2011-05-31 00:00:00', 'stor_Pine Flat.2011-05-31 00:00:00')",582.488507804
"('stor_Pine Flat.2011-05-31 00:00:00', 'flow_Pine Flat.2011-05-31 00:00:00')",588.646084637
"('stor_Pine Flat.2011-05-31 00:00:00', 'spill_Pine Flat.2011-05-31 00:00:00')",0.0
"('spill_Pine Flat.2011-05-31 00:00:00', 'flow_Pine Flat.2011-05-31 00:00:00')",0.0
"('flow_Pine Flat.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",588.646084637
"('SUPERSOURCE', 'INFLOW.2011-06-30 00:00:00')",2953.30582971
"('DELTA.2011-06-30 00:00:00', 'SUPERSINK')",2068.72139793
"('INFLOW.2011-06-30 00:00:00', 'stor_Shasta.2011-06-30 00:00:00')",707.696554444
"('stor_Shasta.2011-06-30 00:00:00', 'flow_Shasta.2011-06-30 00:00:00')",703.043154878
"('stor_Shasta.2011-06-30 00:00:00', 'spill_Shasta.2011-06-30 00:00:00')",0.0
"('spill_Shasta.2011-06-30 00:00:00', 'flow_Shasta.2011-06-30 00:00:00')",0.0
"('flow_Shasta.2011-06-30 00:00:00', 'stor_Keswick.2011-06-30 00:00:00')",703.043154878
"('INFLOW.2011-06-30 00:00:00', 'stor_Keswick.2011-06-30 00:00:00')",0.0
"('stor_Keswick.2011-06-30 00:00:00', 'flow_Keswick.2011-06-30 00:00:00')",703.043154878
"('stor_Keswick.2011-06-30 00:00:00', 'spill_Keswick.2011-06-30 00:00:00')",0.0
"('spill_Keswick.2011-06-30 00:00:00', 'flow_Keswick.2011-06-30 00:00:00')",0.0
"('flow_Keswick.2011-06-30 00:00:00', 'DELTA.2011-06-30 00:00:00')",703.043154878
"('INFLOW.2011-06-30 00:00:00', 'stor_Folsom.2011-06-30 00:00:00')",778.538475616
"('stor_Folsom.2011-06-30 00:00:00', 'flow_Folsom.2011-06-30 00:00:00')",777.032158419
"('stor_Folsom.2011-06-30 00:00:00', 'spill_Folsom.2011-06-30 00:00:00')",0.0
"('spill_Folsom.2011-06-30 00:00:00', 'flow_Folsom.2011-06-30 00:00:00')",0.0
