link,value
"('stor_Shasta.2013-02-28 00:00:00', 'stor_Shasta.2013-03-31 00:00:00')",5614.932874
"('stor_Keswick.2013-02-28 00:00:00', 'stor_Keswick.2013-03-31 00:00:00')",29.35686722
"('stor_Folsom.2013-02-28 00:00:00', 'stor_Folsom.2013-03-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-02-28 00:00:00', 'stor_Nimbus.2013-03-31 00:00:00')",10.85464056
"('stor_New Melones.2013-02-28 00:00:00', 'stor_New Melones.2013-03-31 00:00:00')",2985.02609
"('stor_Pine Flat.2013-02-28 00:00:00', 'stor_Pine Flat.2013-03-31 00:00:00')",1233.481855
"('stor_Shasta.2013-03-31 00:00:00', 'stor_Shasta.2013-04-30 00:00:00')",5614.932874
"('stor_Keswick.2013-03-31 00:00:00', 'stor_Keswick.2013-04-30 00:00:00')",29.35686722
"('stor_Folsom.2013-03-31 00:00:00', 'stor_Folsom.2013-04-30 00:00:00')",1202.644809
"('stor_Nimbus.2013-03-31 00:00:00', 'stor_Nimbus.2013-04-30 00:00:00')",10.85464056
"('stor_New Melones.2013-03-31 00:00:00', 'stor_New Melones.2013-04-30 00:00:00')",2900.24940804
"('stor_Pine Flat.2013-03-31 00:00:00', 'stor_Pine Flat.2013-04-30 00:00:00')",1233.481855
"('stor_Shasta.2013-04-30 00:00:00', 'stor_Shasta.2013-05-31 00:00:00')",5614.932874
"('stor_Keswick.2013-04-30 00:00:00', 'stor_Keswick.2013-05-31 00:00:00')",29.35686722
"('stor_Folsom.2013-04-30 00:00:00', 'stor_Folsom.2013-05-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-04-30 00:00:00', 'stor_Nimbus.2013-05-31 00:00:00')",10.85464056
"('stor_New Melones.2013-04-30 00:00:00', 'stor_New Melones.2013-05-31 00:00:00')",2985.02609
"('stor_Pine Flat.2013-04-30 00:00:00', 'stor_Pine Flat.2013-05-31 00:00:00')",1233.481855
"('stor_Shasta.2013-05-31 00:00:00', 'stor_Shasta.2013-06-30 00:00:00')",5614.932874
"('stor_Keswick.2013-05-31 00:00:00', 'stor_Keswick.2013-06-30 00:00:00')",29.35686722
"('stor_Folsom.2013-05-31 00:00:00', 'stor_Folsom.2013-06-30 00:00:00')",1202.644809
"('stor_Nimbus.2013-05-31 00:00:00', 'stor_Nimbus.2013-06-30 00:00:00')",10.85464056
"('stor_New Melones.2013-05-31 00:00:00', 'stor_New Melones.2013-06-30 00:00:00')",2985.02609
"('stor_Pine Flat.2013-05-31 00:00:00', 'stor_Pine Flat.2013-06-30 00:00:00')",1233.481855
"('stor_Shasta.2013-06-30 00:00:00', 'stor_Shasta.2013-07-31 00:00:00')",5614.932874
"('stor_Keswick.2013-06-30 00:00:00', 'stor_Keswick.2013-07-31 00:00:00')",29.35686722
"('stor_Folsom.2013-06-30 00:00:00', 'stor_Folsom.2013-07-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-06-30 00:00:00', 'stor_Nimbus.2013-07-31 00:00:00')",10.85464056
"('stor_New Melones.2013-06-30 00:00:00', 'stor_New Melones.2013-07-31 00:00:00')",2985.02609
"('stor_Pine Flat.2013-06-30 00:00:00', 'stor_Pine Flat.2013-07-31 00:00:00')",1233.481855
"('stor_Shasta.2013-07-31 00:00:00', 'stor_Shasta.2013-08-31 00:00:00')",5614.932874
"('stor_Keswick.2013-07-31 00:00:00', 'stor_Keswick.2013-08-31 00:00:00')",29.35686722
"('stor_Folsom.2013-07-31 00:00:00', 'stor_Folsom.2013-08-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-07-31 00:00:00', 'stor_Nimbus.2013-08-31 00:00:00')",10.85464056
"('stor_New Melones.2013-07-31 00:00:00', 'stor_New Melones.2013-08-31 00:00:00')",2985.02609
"('stor_Pine Flat.2013-07-31 00:00:00', 'stor_Pine Flat.2013-08-31 00:00:00')",1233.481855
"('stor_Shasta.2013-08-31 00:00:00', 'stor_Shasta.2013-09-30 00:00:00')",5614.932874
"('stor_Keswick.2013-08-31 00:00:00', 'stor_Keswick.2013-09-30 00:00:00')",29.35686722
"('stor_Folsom.2013-08-31 00:00:00', 'stor_Folsom.2013-09-30 00:00:00')",1202.644809
"('stor_Nimbus.2013-08-31 00:00:00', 'stor_Nimbus.2013-09-30 00:00:00')",10.85464056
"('stor_New Melones.2013-08-31 00:00:00', 'stor_New Melones.2013-09-30 00:00:00')",2932.72764791
"('stor_Pine Flat.2013-08-31 00:00:00', 'stor_Pine Flat.2013-09-30 00:00:00')",1233.481855
"('stor_Shasta.2013-09-30 00:00:00', 'stor_Shasta.2013-10-31 00:00:00')",5614.932874
"('stor_Keswick.2013-09-30 00:00:00', 'stor_Keswick.2013-10-31 00:00:00')",29.35686722
"('stor_Folsom.2013-09-30 00:00:00', 'stor_Folsom.2013-10-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-09-30 00:00:00', 'stor_Nimbus.2013-10-31 00:00:00')",10.85464056
"('stor_New Melones.2013-09-30 00:00:00', 'stor_New Melones.2013-10-31 00:00:00')",2985.02609
"('stor_Pine Flat.2013-09-30 00:00:00', 'stor_Pine Flat.2013-10-31 00:00:00')",1233.481855
"('stor_Shasta.2013-10-31 00:00:00', 'stor_Shasta.2013-11-30 00:00:00')",5614.932874
"('stor_Keswick.2013-10-31 00:00:00', 'stor_Keswick.2013-11-30 00:00:00')",29.35686722
"('stor_Folsom.2013-10-31 00:00:00', 'stor_Folsom.2013-11-30 00:00:00')",1202.644809
"('stor_Nimbus.2013-10-31 00:00:00', 'stor_Nimbus.2013-11-30 00:00:00')",10.85464056
"('stor_New Melones.2013-10-31 00:00:00', 'stor_New Melones.2013-11-30 00:00:00')",2985.02609
"('stor_Pine Flat.2013-10-31 00:00:00', 'stor_Pine Flat.2013-11-30 00:00:00')",1233.481855
"('stor_Shasta.2013-11-30 00:00:00', 'stor_Shasta.2013-12-31 00:00:00')",5614.932874
"('stor_Keswick.2013-11-30 00:00:00', 'stor_Keswick.2013-12-31 00:00:00')",29.35686722
"('stor_Folsom.2013-11-30 00:00:00', 'stor_Folsom.2013-12-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-11-30 00:00:00', 'stor_Nimbus.2013-12-31 00:00:00')",10.85464056
"('stor_New Melones.2013-11-30 00:00:00', 'stor_New Melones.2013-12-31 00:00:00')",2985.02609
"('stor_Pine Flat.2013-11-30 00:00:00', 'stor_Pine Flat.2013-12-31 00:00:00')",1233.481855
"('stor_Shasta.2013-12-31 00:00:00', 'stor_Shasta.2014-01-31 00:00:00')",5366.69628461
"('stor_Keswick.2013-12-31 00:00:00', 'stor_Keswick.2014-01-31 00:00:00')",29.35686722
"('stor_Folsom.2013-12-31 00:00:00', 'stor_Folsom.2014-01-31 00:00:00')",1202.644809
"('stor_Nimbus.2013-12-31 00:00:00', 'stor_Nimbus.2014-01-31 00:00:00')",10.85464056
"('stor_New Melones.2013-12-31 00:00:00', 'stor_New Melones.2014-01-31 00:00:00')",2947.3625336
"('stor_Pine Flat.2013-12-31 00:00:00', 'stor_Pine Flat.2014-01-31 00:00:00')",1233.481855
"('stor_Shasta.2014-01-31 00:00:00', 'stor_Shasta.2014-02-28 00:00:00')",5614.932874
"('stor_Keswick.2014-01-31 00:00:00', 'stor_Keswick.2014-02-28 00:00:00')",29.35686722
"('stor_Folsom.2014-01-31 00:00:00', 'stor_Folsom.2014-02-28 00:00:00')",1202.644809
"('stor_Nimbus.2014-01-31 00:00:00', 'stor_Nimbus.2014-02-28 00:00:00')",10.85464056
"('stor_New Melones.2014-01-31 00:00:00', 'stor_New Melones.2014-02-28 00:00:00')",2985.02609
"('stor_Pine Flat.2014-01-31 00:00:00', 'stor_Pine Flat.2014-02-28 00:00:00')",1233.481855
"('stor_Shasta.2014-02-28 00:00:00', 'stor_Shasta.2014-03-31 00:00:00')",4006.34201419
"('stor_Keswick.2014-02-28 00:00:00', 'stor_Keswick.2014-03-31 00:00:00')",29.35686722
"('stor_Folsom.2014-02-28 00:00:00', 'stor_Folsom.2014-03-31 00:00:00')",1202.644809
"('stor_Nimbus.2014-02-28 00:00:00', 'stor_Nimbus.2014-03-31 00:00:00')",10.85464056
"('stor_New Melones.2014-02-28 00:00:00', 'stor_New Melones.2014-03-31 00:00:00')",2458.35602494
"('stor_Pine Flat.2014-02-28 00:00:00', 'stor_Pine Flat.2014-03-31 00:00:00')",810.429875291
"('stor_Shasta.2014-03-31 00:00:00', 'stor_Shasta.2014-04-30 00:00:00')",4688.14437463
"('stor_Keswick.2014-03-31 00:00:00', 'stor_Keswick.2014-04-30 00:00:00')",29.35686722
