date,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2014-06-30 00:00:00,1.81442653169e-08,6057990.17814,105435.287709,6291298.47799,1589179.46654,3.04405650505e-09
2014-07-31 00:00:00,2.15947343438e-08,5477830.63651,586949.847662,5712491.81871,1009841.07342,3.28200966084e-09
2014-08-31 00:00:00,2.90682373536e-08,5208168.69132,315809.238506,5441303.80327,738693.702392,2.73445187587e-09
2014-09-30 00:00:00,3.76761609867e-08,4976210.84139,82557.3182415,5208337.24707,505445.665736,2.03584385495e-09
2014-10-31 00:00:00,4.63890869654e-08,5357508.96385,466803.159066,5590816.50137,889704.554658,2.1565913382e-09
2014-11-30 00:00:00,1.19915340885e-08,4579824.38765,4.56766920879e-08,4813131.91352,109258.548434,1.88447669889e-09
2014-12-31 00:00:00,1.76192761472e-08,5169960.11024,6.63020954103e-08,5403267.71334,701280.321485,2.51330757426e-09
2015-01-31 00:00:00,2.14409549644e-08,4630757.47719,1.08950444772e-07,4864065.4108,162175.531665,2.84016867838e-09
2015-02-28 00:00:00,4.52819560222e-08,5352809.72734,63009.1508645,5586117.36235,884713.854919,4.15404775761e-09
2015-03-31 00:00:00,7.36352830858e-08,5510635.81289,619549.088845,5743943.08788,1042507.21675,4.93242154046e-09
2015-04-30 00:00:00,1.49235401582e-07,5174724.61652,283499.434866,5408032.12416,706449.565831,5.94079994947e-09
2015-05-31 00:00:00,1063704.57414,5996540.61346,1105409.67272,6228490.09316,1528365.00094,7.19063349258e-09
2015-06-30 00:00:00,1.83218036831e-07,5077595.26764,185989.086565,5312253.21576,608917.33193,8.99460314054e-09
2015-07-31 00:00:00,728643.861911,5521373.95769,631288.628736,5754690.53801,1054225.8866,1.13802661693e-08
2015-08-31 00:00:00,146372.476494,5184403.48183,291461.110222,5416362.64027,714389.895865,3.00369118663e-09
2015-09-30 00:00:00,292668.79766,5254699.22361,364538.105444,5489355.50703,787471.761135,3.22833515434e-09
2015-10-31 00:00:00,1.20851461323e-08,4824294.77607,1.12191661863e-07,5057601.85991,354392.994796,1.80697263566e-09
2015-11-30 00:00:00,1.26794768207e-08,5259014.2551,278477.948172,5492306.42298,790823.359447,1.90324695123e-09
2015-12-31 00:00:00,1.65322934628e-08,5155932.99517,264812.779098,5387889.36975,687769.339405,2.08691770527e-09
2016-01-31 00:00:00,8.23690983381e-09,4617083.28292,2.45453630723e-08,4851762.71343,6.09481086049e-08,2.99114604492e-09
2016-03-31 00:00:00,3.54412988098e-08,5207198.54571,5.99650188492e-08,5439138.50665,738266.323049,9.06871624898e-09
2016-04-30 00:00:00,906963.804288,5561285.98418,600071.654655,5794594.14228,1093804.36402,2.38190425373e-08
2016-05-31 00:00:00,1494672.44428,5854096.03424,964811.09615,6088766.90484,1387794.62793,195334.300486
2016-06-30 00:00:00,1589918.40843,5903769.06106,1012748.85658,6137076.78199,1435710.84718,1332770.06705
2016-07-31 00:00:00,533141.658597,5376128.08952,484702.988719,5609435.81045,907641.540587,276499.043167
2016-08-31 00:00:00,620689.357275,5419988.46991,528516.492008,5653296.19084,951452.330243,364105.292555
2016-09-30 00:00:00,122013.012732,5172148.84186,279243.14848,5404099.48492,702174.5503,9.82943243136e-09
2016-10-31 00:00:00,4.50530538293e-08,4802788.14718,2.04688072061e-07,5037452.49572,334262.743855,1.74818020419e-08
2016-11-30 00:00:00,931032.694576,5928976.81813,819017.511909,6162284.98932,1462182.43505,270928.15841
2016-12-31 00:00:00,117806.482783,5168666.94207,1.99457158248e-08,5401974.66299,2.54760611949e-08,2.76302086066e-09
2017-01-31 00:00:00,8.23690983381e-09,4679015.30262,1.57992196002e-08,4912323.02355,1.79903393591e-08,1.74455951706e-09
2017-02-28 00:00:00,1.08600880124e-08,4783367.88735,2.64106882435e-08,5016674.40567,1.57706112616e-08,2.90347901168e-09
2017-03-31 00:00:00,261232.917163,5453901.93643,381732.776698,5685849.09771,1.10131163943e-08,5.78896376227e-09
2017-04-30 00:00:00,968228.291392,5591082.49805,701683.950114,5825751.98124,1.05569427807e-08,269459.831549
2017-05-31 00:00:00,851486.711934,5534430.93846,643476.974564,5767738.65939,1.71626714357e-08,594255.63436
2017-06-30 00:00:00,1667438.58252,5942691.67972,933843.76153,6175999.40065,5619131.37858,1410400.21717
2017-07-31 00:00:00,1025172.6444,5622354.86477,2.24375656398e-08,5855662.5857,1153747.23044,768672.991882
2017-08-31 00:00:00,1339930.29419,5780128.62069,1.02542417557e-08,6013436.34162,38884.3044906,1083697.86935
2017-09-30 00:00:00,1.21246442743e-08,3380901.66835,6.54418643243e-09,3614209.38928,1.83572119604e-08,2.93472075693e-09
2017-10-31 00:00:00,0.755909800549,4770275.02566,0.304550451247,6586067.3808,0.737012299152,0.161905929097
