link,value
"('spill_Folsom.2011-01-31 00:00:00', 'flow_Folsom.2011-01-31 00:00:00')",-9.99983943939e-09
"('flow_Folsom.2011-01-31 00:00:00', 'stor_Nimbus.2011-01-31 00:00:00')",1378.73307386
"('INFLOW.2011-01-31 00:00:00', 'stor_Nimbus.2011-01-31 00:00:00')",9.99713798799e-09
"('stor_Nimbus.2011-01-31 00:00:00', 'flow_Nimbus.2011-01-31 00:00:00')",1378.73307388
"('stor_Nimbus.2011-01-31 00:00:00', 'spill_Nimbus.2011-01-31 00:00:00')",-9.99983946545e-09
"('spill_Nimbus.2011-01-31 00:00:00', 'flow_Nimbus.2011-01-31 00:00:00')",-9.99983948768e-09
"('flow_Nimbus.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",1378.73307387
"('INFLOW.2011-01-31 00:00:00', 'stor_New Melones.2011-01-31 00:00:00')",154.350212891
"('stor_New Melones.2011-01-31 00:00:00', 'flow_New Melones.2011-01-31 00:00:00')",1.34389829554e-11
"('stor_New Melones.2011-01-31 00:00:00', 'spill_New Melones.2011-01-31 00:00:00')",-9.99982932443e-09
"('spill_New Melones.2011-01-31 00:00:00', 'flow_New Melones.2011-01-31 00:00:00')",-9.99981140422e-09
"('flow_New Melones.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",-9.98633502611e-09
"('INFLOW.2011-01-31 00:00:00', 'stor_Pine Flat.2011-01-31 00:00:00')",194.861657478
"('stor_Pine Flat.2011-01-31 00:00:00', 'flow_Pine Flat.2011-01-31 00:00:00')",193.97625572
"('stor_Pine Flat.2011-01-31 00:00:00', 'spill_Pine Flat.2011-01-31 00:00:00')",-9.99983947802e-09
"('spill_Pine Flat.2011-01-31 00:00:00', 'flow_Pine Flat.2011-01-31 00:00:00')",-9.99983947512e-09
"('flow_Pine Flat.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",193.97625571
"('SUPERSOURCE', 'INFLOW.2011-02-28 00:00:00')",1319.50747078
"('DELTA.2011-02-28 00:00:00', 'SUPERSINK')",349.120667362
"('INFLOW.2011-02-28 00:00:00', 'stor_Shasta.2011-02-28 00:00:00')",653.838920405
"('stor_Shasta.2011-02-28 00:00:00', 'flow_Shasta.2011-02-28 00:00:00')",5.86929200912e-11
"('stor_Shasta.2011-02-28 00:00:00', 'spill_Shasta.2011-02-28 00:00:00')",-9.9998247149e-09
"('spill_Shasta.2011-02-28 00:00:00', 'flow_Shasta.2011-02-28 00:00:00')",-9.9998104585e-09
"('flow_Shasta.2011-02-28 00:00:00', 'stor_Keswick.2011-02-28 00:00:00')",-9.94107493121e-09
"('INFLOW.2011-02-28 00:00:00', 'stor_Keswick.2011-02-28 00:00:00')",9.99665192658e-09
"('stor_Keswick.2011-02-28 00:00:00', 'flow_Keswick.2011-02-28 00:00:00')",1.00552070193e-08
"('stor_Keswick.2011-02-28 00:00:00', 'spill_Keswick.2011-02-28 00:00:00')",-9.99980972291e-09
"('spill_Keswick.2011-02-28 00:00:00', 'flow_Keswick.2011-02-28 00:00:00')",-9.99984566521e-09
