link,value
"('stor_Nimbus.2012-11-30 00:00:00', 'stor_Nimbus.2012-12-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-11-30 00:00:00', 'stor_New Melones.2012-12-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-11-30 00:00:00', 'stor_Pine Flat.2012-12-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-12-31 00:00:00', 'stor_Shasta.2013-01-31 00:00:00')",5614.93293015
"('stor_Keswick.2012-12-31 00:00:00', 'stor_Keswick.2013-01-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-12-31 00:00:00', 'stor_Folsom.2013-01-31 00:00:00')",1202.64482103
"('stor_Nimbus.2012-12-31 00:00:00', 'stor_Nimbus.2013-01-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-12-31 00:00:00', 'stor_New Melones.2013-01-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-12-31 00:00:00', 'stor_Pine Flat.2013-01-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-01-31 00:00:00', 'stor_Shasta.2013-02-28 00:00:00')",5614.93293015
"('stor_Keswick.2013-01-31 00:00:00', 'stor_Keswick.2013-02-28 00:00:00')",29.3568675136
"('stor_Folsom.2013-01-31 00:00:00', 'stor_Folsom.2013-02-28 00:00:00')",1202.64482103
"('stor_Nimbus.2013-01-31 00:00:00', 'stor_Nimbus.2013-02-28 00:00:00')",10.8546406685
"('stor_New Melones.2013-01-31 00:00:00', 'stor_New Melones.2013-02-28 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-01-31 00:00:00', 'stor_Pine Flat.2013-02-28 00:00:00')",1233.48186733
"('stor_Shasta.2013-02-28 00:00:00', 'stor_Shasta.2013-03-31 00:00:00')",5614.93293015
"('stor_Keswick.2013-02-28 00:00:00', 'stor_Keswick.2013-03-31 00:00:00')",29.3568675136
"('stor_Folsom.2013-02-28 00:00:00', 'stor_Folsom.2013-03-31 00:00:00')",1202.64482103
"('stor_Nimbus.2013-02-28 00:00:00', 'stor_Nimbus.2013-03-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-02-28 00:00:00', 'stor_New Melones.2013-03-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-02-28 00:00:00', 'stor_Pine Flat.2013-03-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-03-31 00:00:00', 'stor_Shasta.2013-04-30 00:00:00')",4503.6728592
"('stor_Keswick.2013-03-31 00:00:00', 'stor_Keswick.2013-04-30 00:00:00')",29.3568675136
"('stor_Folsom.2013-03-31 00:00:00', 'stor_Folsom.2013-04-30 00:00:00')",1001.46407251
"('stor_Nimbus.2013-03-31 00:00:00', 'stor_Nimbus.2013-04-30 00:00:00')",10.8546406685
"('stor_New Melones.2013-03-31 00:00:00', 'stor_New Melones.2013-04-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-03-31 00:00:00', 'stor_Pine Flat.2013-04-30 00:00:00')",1233.48186733
"('stor_Shasta.2013-04-30 00:00:00', 'stor_Shasta.2013-05-31 00:00:00')",5007.37854969
"('stor_Keswick.2013-04-30 00:00:00', 'stor_Keswick.2013-05-31 00:00:00')",29.3568675136
"('stor_Folsom.2013-04-30 00:00:00', 'stor_Folsom.2013-05-31 00:00:00')",1202.64482103
"('stor_Nimbus.2013-04-30 00:00:00', 'stor_Nimbus.2013-05-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-04-30 00:00:00', 'stor_New Melones.2013-05-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-04-30 00:00:00', 'stor_Pine Flat.2013-05-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-05-31 00:00:00', 'stor_Shasta.2013-06-30 00:00:00')",5329.19870324
"('stor_Keswick.2013-05-31 00:00:00', 'stor_Keswick.2013-06-30 00:00:00')",29.3568675136
"('stor_Folsom.2013-05-31 00:00:00', 'stor_Folsom.2013-06-30 00:00:00')",1202.64482103
"('stor_Nimbus.2013-05-31 00:00:00', 'stor_Nimbus.2013-06-30 00:00:00')",10.8546406685
"('stor_New Melones.2013-05-31 00:00:00', 'stor_New Melones.2013-06-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-05-31 00:00:00', 'stor_Pine Flat.2013-06-30 00:00:00')",1233.48186733
"('stor_Shasta.2013-06-30 00:00:00', 'stor_Shasta.2013-07-31 00:00:00')",5614.93293015
"('stor_Keswick.2013-06-30 00:00:00', 'stor_Keswick.2013-07-31 00:00:00')",29.3568675136
"('stor_Folsom.2013-06-30 00:00:00', 'stor_Folsom.2013-07-31 00:00:00')",1202.64482103
"('stor_Nimbus.2013-06-30 00:00:00', 'stor_Nimbus.2013-07-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-06-30 00:00:00', 'stor_New Melones.2013-07-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-06-30 00:00:00', 'stor_Pine Flat.2013-07-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-07-31 00:00:00', 'stor_Shasta.2013-08-31 00:00:00')",5614.93293015
"('stor_Keswick.2013-07-31 00:00:00', 'stor_Keswick.2013-08-31 00:00:00')",29.3568675136
"('stor_Folsom.2013-07-31 00:00:00', 'stor_Folsom.2013-08-31 00:00:00')",1202.64482103
"('stor_Nimbus.2013-07-31 00:00:00', 'stor_Nimbus.2013-08-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-07-31 00:00:00', 'stor_New Melones.2013-08-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-07-31 00:00:00', 'stor_Pine Flat.2013-08-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-08-31 00:00:00', 'stor_Shasta.2013-09-30 00:00:00')",5122.76079398
"('stor_Keswick.2013-08-31 00:00:00', 'stor_Keswick.2013-09-30 00:00:00')",29.3568675136
"('stor_Folsom.2013-08-31 00:00:00', 'stor_Folsom.2013-09-30 00:00:00')",1136.62779228
"('stor_Nimbus.2013-08-31 00:00:00', 'stor_Nimbus.2013-09-30 00:00:00')",10.8546406685
"('stor_New Melones.2013-08-31 00:00:00', 'stor_New Melones.2013-09-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-08-31 00:00:00', 'stor_Pine Flat.2013-09-30 00:00:00')",1233.48186733
"('stor_Shasta.2013-09-30 00:00:00', 'stor_Shasta.2013-10-31 00:00:00')",5373.27703473
"('stor_Keswick.2013-09-30 00:00:00', 'stor_Keswick.2013-10-31 00:00:00')",29.3568675136
"('stor_Folsom.2013-09-30 00:00:00', 'stor_Folsom.2013-10-31 00:00:00')",1202.64482103
"('stor_Nimbus.2013-09-30 00:00:00', 'stor_Nimbus.2013-10-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-09-30 00:00:00', 'stor_New Melones.2013-10-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-09-30 00:00:00', 'stor_Pine Flat.2013-10-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-10-31 00:00:00', 'stor_Shasta.2013-11-30 00:00:00')",5614.93293015
"('stor_Keswick.2013-10-31 00:00:00', 'stor_Keswick.2013-11-30 00:00:00')",29.3568675136
"('stor_Folsom.2013-10-31 00:00:00', 'stor_Folsom.2013-11-30 00:00:00')",1202.64482103
"('stor_Nimbus.2013-10-31 00:00:00', 'stor_Nimbus.2013-11-30 00:00:00')",10.8546406685
"('stor_New Melones.2013-10-31 00:00:00', 'stor_New Melones.2013-11-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-10-31 00:00:00', 'stor_Pine Flat.2013-11-30 00:00:00')",1233.48186733
"('stor_Shasta.2013-11-30 00:00:00', 'stor_Shasta.2013-12-31 00:00:00')",5614.93293015
"('stor_Keswick.2013-11-30 00:00:00', 'stor_Keswick.2013-12-31 00:00:00')",29.3568675136
